0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.00691132	5.19994	0	0	0	1	0	0	1477010443000000
0.682437	0.558006	4.84102	8.13136e-18	-5.2019e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.000345566	0.0138215	5.19975	0.00179686	0	141.806	2	4.84102	3.9364e-17	1477010443050000
0.956365	0.54788	4.94474	-0.211207	-0.0167933	1.17385	0.481073	1.11998	0.600225	5.19943	0.00103664	0.0207296	5.19943	0.00538996	3.01563	141.806	3	4.83486	-1.03662	1477010443100000
1.16826	0.498363	5.13722	-0.0592603	0.047664	0.969149	0.397513	1.37996	0.600629	5.19899	0.00207312	0.0276344	5.19898	0.0107781	3.01563	1.51616	4	5.12821	-0.304255	1477010443150000
1.48552	0.514715	5.24326	-0.0568623	0.0576805	1.65063	0.62469	1.6399	0.601347	5.19842	0.00345484	0.0345348	5.19839	0.0179597	2.37292	1.51616	5	5.23479	-0.297984	1477010443200000
1.74772	0.526618	5.31997	-0.00393834	0.173864	1.62331	0.499091	1.89982	0.60247	5.19773	0.00518158	0.0414297	5.19766	0.0269323	2.37292	0.773892	6	5.31993	-0.0209518	1477010443250000
2.05279	0.548123	5.37538	0.0144649	0.210541	2.18882	0.648739	2.1597	0.604086	5.19691	0.00725307	0.0483182	5.19678	0.0376932	1.61493	0.773892	7	5.37482	0.0777518	1477010443300000
2.27302	0.604875	5.22627	0.0949365	0.342313	1.96701	0.557117	2.41954	0.606284	5.19597	0.00966898	0.0551989	5.19573	0.0502389	1.61493	2.12298	8	5.20274	0.495419	1477010443350000
2.55651	0.637313	5.26259	0.111694	0.35129	2.65526	0.66598	2.67932	0.609155	5.19491	0.0124289	0.062071	5.1945	0.0645654	0.586725	2.12298	9	5.2298	0.586576	1477010443400000
2.82574	0.645929	5.27702	0.100316	0.268337	2.92034	0.645898	2.93904	0.612786	5.19372	0.0155325	0.0689333	5.19309	0.080668	0.586725	0.22081	10	5.25049	0.528483	1477010443450000
3.07319	0.665829	5.25897	0.107383	0.245765	3.01222	0.637046	3.19869	0.617267	5.19241	0.0189791	0.0757847	5.19147	0.0985415	0.2485	0.22081	11	5.22868	0.563638	1477010443500000
3.36251	0.579998	5.29182	-0.011891	-0.110896	3.56096	0.485311	3.45825	0.622685	5.19097	0.0227684	0.0826241	5.18963	0.11818	0.2485	3.15647	12	5.29145	-0.0629236	1477010443550000
3.67574	0.496656	5.35993	-0.107092	-0.333551	3.89365	0.311793	3.71772	0.62913	5.18942	0.0268996	0.0894504	5.18754	0.139576	4.76755	3.15647	13	5.32922	-0.572909	1477010443600000
3.95548	0.55828	5.39753	-0.028615	-0.0939539	4.19786	0.698311	3.97708	0.636689	5.18775	0.0313721	0.0962627	5.18519	0.162724	4.76755	2.45512	14	5.39532	-0.154429	1477010443650000
4.23784	0.557731	5.41462	-0.0270569	-0.0777448	4.30935	0.578564	4.23632	0.645449	5.18595	0.0361852	0.10306	5.18256	0.187614	0.297919	2.45512	15	5.41264	-0.146485	1477010443700000
4.49769	0.590877	5.36701	0.00194531	-0.0108934	4.61908	0.68951	4.49542	0.655498	5.18405	0.0413382	0.10984	5.17962	0.214238	0.297919	1.15215	16	5.367	0.0104405	1477010443750000
4.69504	0.69627	5.26287	0.0900552	0.160071	4.35143	0.899174	4.75437	0.666921	5.18202	0.0468302	0.116604	5.17634	0.242587	9.09243	1.15215	17	5.24155	0.473309	1477010443800000
4.94855	0.693949	5.19942	0.0769117	0.121394	5.20901	0.66599	5.01315	0.679804	5.17988	0.0526604	0.123349	5.1727	0.272649	9.09243	2.53618	18	5.18405	0.399502	1477010443850000
